Antifade,Transcript,Stack_No,Avg_Max,Std_Max,SEM_Max,Avg_Min,Std_Min,SEM_Min,Avg_Mean,Std_Mean,SEM_Mean,Norm_avg_Max,Norm_std_Max,Norm_SEM_Max,Norm_avg_Min,Norm_std_Min,Norm_SEM_Min,Norm_avg_Mean,Norm_std_Mean,Norm_SEM_Mean
n-propyl_vecta,imb-2,26,745.0714286,174.891819,46.74180475,165.5,24.06641452,6.432019832,332.9715,60.81876566,16.25449884,0.884875383,0.047535402,0.01270437,0.977697434,0.021159484,0.00565511,0.924326631,0.023254647,0.006215066
n-propyl_vecta,imb-2,27,741,171.3130288,45.78533284,163.5,23.98637434,6.410628194,332.2309286,60.6068589,16.19786438,0.880162397,0.037223124,0.009948298,0.966166878,0.03256684,0.008703854,0.922323914,0.02333279,0.00623595
n-propyl_vecta,imb-2,28,744.9285714,174.1517748,46.54401961,164.0714286,24.67469674,6.594590095,331.5863571,60.34400802,16.12761452,0.884333754,0.03785412,0.010116939,0.968761776,0.027524158,0.007356141,0.920621475,0.023478723,0.006274953
n-propyl_vecta,imb-2,29,735.1428571,163.1402686,43.6010708,163.5714286,23.65038392,6.320830977,330.9510714,60.18497016,16.08510987,0.875546741,0.039025125,0.010429903,0.966638004,0.028028702,0.007490986,0.918898062,0.023645432,0.006319508
n-propyl_vecta,imb-2,30,745,177.7889847,47.51610485,162.9285714,23.53218511,6.289241019,330.3714286,60.00965662,16.03825535,0.884739327,0.047009529,0.012563825,0.963133343,0.033269341,0.008891606,0.917334251,0.023795394,0.006359587
n-propyl_vecta,imb-2,31,739.4285714,176.1628243,47.0814952,163.2142857,23.16887359,6.192141929,329.7425,59.81327384,15.98576985,0.878156354,0.044408216,0.011868595,0.965170256,0.033428247,0.008934075,0.915641972,0.023924131,0.006393993
n-propyl_vecta,imb-2,32,732.2142857,173.2562258,46.30467408,162.0714286,23.73398824,6.343175173,329.1139286,59.62069153,15.93430006,0.869113752,0.03131937,0.008370454,0.957586431,0.029648432,0.007923877,0.91394805,0.024031921,0.006422801
n-propyl_vecta,imb-2,33,739.9285714,167.7546121,44.83430597,164.5,23.75111333,6.347752047,328.5185,59.38816842,15.87215565,0.880258907,0.039903562,0.010664676,0.97223069,0.028292893,0.007561594,0.912369401,0.024157608,0.006456392
n-propyl_vecta,imb-2,34,722.2142857,161.7330082,43.22496462,162.6428571,23.34888284,6.240251424,327.9166429,59.20225374,15.82246786,0.859224811,0.033357768,0.008915238,0.961386131,0.03007168,0.008036995,0.910754477,0.024411512,0.006524251
n-propyl_vecta,imb-2,35,727.6428571,169.7670835,45.37216157,163.8571429,24.05716635,6.429548155,327.3310714,59.03355532,15.77738131,0.864544548,0.042985621,0.01148839,0.967830352,0.02173298,0.005808383,0.909173739,0.0246046,0.006575856
n-propyl_vecta,imb-2,36,724.7142857,159.0222184,42.50047557,163.7142857,24.33240502,6.503108784,326.7135714,58.80672802,15.71675916,0.863600957,0.051986439,0.01389396,0.966731602,0.021106159,0.005640858,0.907542074,0.024989652,0.006678765
n-propyl_vecta,imb-2,37,717.9285714,165.8778347,44.33271611,161.1428571,22.85020499,6.106974164,326.1015,58.55840352,15.65039165,0.853016218,0.03895468,0.010411076,0.952679175,0.026917685,0.007194054,0.905926294,0.025271658,0.006754135
n-propyl_vecta,imb-2,38,714.1428571,157.1382817,41.99697231,162.6428571,24.04357308,6.425915202,325.5472857,58.38316088,15.60355608,0.850659094,0.038211893,0.010212558,0.960910979,0.031308496,0.008367548,0.90444294,0.025434359,0.006797618
n-propyl_vecta,imb-2,39,721.3571429,166.0257659,44.37225239,163.0714286,24.42402438,6.527595089,324.9974286,58.18969604,15.55185043,0.856732984,0.035394694,0.00945963,0.962954347,0.025032051,0.006690097,0.902974803,0.025682986,0.006864067
n-propyl_vecta,imb-2,40,716.0714286,159.5544104,42.64270989,161.9285714,22.90604316,6.121897542,324.3834286,58.03832209,15.51139404,0.852577105,0.04322397,0.011552092,0.957316954,0.025991995,0.006946653,0.901294261,0.025585283,0.006837955
n-propyl_vecta,imb-2,41,712,156.1202692,41.72489704,161.7142857,22.94618645,6.132626287,323.8228571,57.8655961,15.46523108,0.8483795,0.039874019,0.01065678,0.956172065,0.0299839,0.008013534,0.899789211,0.025891817,0.006919879
n-propyl_vecta,imb-2,42,710,157.1872964,42.01007205,162.5714286,23.71858825,6.339059352,323.313,57.6442758,15.40608074,0.845085918,0.035337695,0.009444396,0.960542279,0.027555135,0.00736442,0.898453886,0.026151566,0.0069893
n-propyl_vecta,imb-2,43,704.6428571,157.1401174,41.99746292,161.2857143,22.02246605,5.885751627,322.8042857,57.51705355,15.37207916,0.838900089,0.040408384,0.010799595,0.954357122,0.030497737,0.008150863,0.8970565,0.026073846,0.006968528
n-propyl_vecta,imb-2,44,712.3571429,157.4965724,42.09272955,162.6428571,22.69058477,6.064313866,322.1988571,57.26613728,15.30501897,0.848111564,0.033856221,0.009048456,0.961890356,0.028619462,0.007648873,0.895470241,0.026443249,0.007067256
